Total puntos: 2400
Punto 0: (0.37184, 208.935) indice: 0
Punto 1789: (45.8542, 34.3454) indice: 1789
Punto 1790: (45.8858, 286.387) indice: 1790
Punto 1791: (450.154, 111.625) indice: 1791
Punto 1792: (450.474, 42.8203) indice: 1792
Punto 1793: (450.789, 118.703) indice: 1793
Punto 1794: (450.817, 139.53) indice: 1794
Punto 1795: (450.86, 106.297) indice: 1795
Punto 1796: (451.082, 140.551) indice: 1796
Punto 1797: (451.138, 155.958) indice: 1797
Punto 1798: (451.395, 30.3273) indice: 1798
Punto 1799: (451.416, 222.076) indice: 1799
Punto 1800: (451.471, 22.3015) indice: 1800
Punto 1801: (451.881, 127.667) indice: 1801
Punto 1802: (452.025, 129.008) indice: 1802
Punto 1803: (452.576, 5.76779) indice: 1803
Punto 1804: (452.693, 47.2048) indice: 1804
Punto 1805: (452.965, 127.41) indice: 1805
Punto 1806: (453.287, 133.739) indice: 1806
Punto 1807: (453.912, 13.1589) indice: 1807
Punto 1808: (454.004, 12.3334) indice: 1808
Punto 1809: (454.144, 135.358) indice: 1809
Punto 1810: (454.515, 23.6964) indice: 1810
Punto 1811: (454.985, 126.388) indice: 1811
Punto 1812: (455.055, 115.372) indice: 1812
Punto 1813: (455.083, 138.43) indice: 1813
Punto 1814: (455.101, 112.581) indice: 1814
Punto 1815: (455.205, 101.438) indice: 1815
Punto 1816: (455.394, 10.0993) indice: 1816
Punto 1817: (455.511, 21.4461) indice: 1817
Punto 1818: (455.876, 119.555) indice: 1818
Punto 1819: (455.975, 127.598) indice: 1819
Punto 1820: (456.053, 11.696) indice: 1820
Punto 1821: (456.1, 126.317) indice: 1821
Punto 1822: (457.152, 57.9041) indice: 1822
Punto 1823: (457.233, 37.0149) indice: 1823
Punto 1824: (457.299, 14.1137) indice: 1824
Punto 1825: (457.87, 107.072) indice: 1825
Punto 1826: (457.964, 53.0337) indice: 1826
Punto 1827: (458.16, 16.4617) indice: 1827
Punto 1828: (458.67, 19.4466) indice: 1828
Punto 1829: (458.858, 6.45246) indice: 1829
Punto 1830: (459.633, 0.531264) indice: 1830
Punto 1831: (459.804, 3.19992) indice: 1831
Punto 1832: (459.999, 117.612) indice: 1832
Punto 1833: (46.093, 180.726) indice: 1833
Punto 1834: (46.303, 171.634) indice: 1834
Punto 1835: (46.3265, 169.884) indice: 1835
Punto 1836: (46.412, 285.632) indice: 1836
Punto 1837: (46.4658, 260.83) indice: 1837
Punto 1838: (46.5066, 161.939) indice: 1838
Punto 1839: (46.603, 23.5575) indice: 1839
Punto 1840: (46.6136, 254.682) indice: 1840
Punto 1841: (46.6778, 134.084) indice: 1841
Punto 1842: (46.7104, 233.654) indice: 1842
Punto 1843: (460.021, 112.824) indice: 1843
Punto 1844: (460.188, 143.107) indice: 1844
Punto 1845: (460.349, 41.8091) indice: 1845
Punto 1846: (460.561, 18.4654) indice: 1846
Punto 1847: (460.651, 22.3139) indice: 1847
Punto 1848: (460.838, 12.5614) indice: 1848
Punto 1849: (461.585, 29.3783) indice: 1849
Punto 1850: (461.765, 45.8176) indice: 1850
Punto 1851: (462.325, 136.689) indice: 1851
Punto 1852: (462.675, 115.259) indice: 1852
Punto 1853: (463.097, 118.682) indice: 1853
Punto 1854: (463.257, 130.429) indice: 1854
Punto 1855: (463.403, 153.774) indice: 1855
Punto 1856: (464.26, 90.6956) indice: 1856
Punto 1857: (464.306, 51.3638) indice: 1857
Punto 1858: (464.501, 157.37) indice: 1858
Punto 1859: (464.902, 10.1496) indice: 1859
Punto 1860: (464.93, 1.07084) indice: 1860
Punto 1861: (465.024, 57.0028) indice: 1861
Punto 1862: (465.157, 28.2156) indice: 1862
Punto 1863: (465.314, 139.649) indice: 1863
Punto 1864: (465.969, 151.157) indice: 1864
Punto 1865: (465.989, 263.46) indice: 1865
Punto 1866: (466.419, 22.775) indice: 1866
Punto 1867: (466.502, 167.282) indice: 1867
Punto 1868: (466.518, 52.5382) indice: 1868
Punto 1869: (466.534, 148.867) indice: 1869
Punto 1870: (466.549, 109.151) indice: 1870
Punto 1871: (466.734, 0.610334) indice: 1871
Punto 1872: (466.747, 260.297) indice: 1872
Punto 1873: (466.762, 267.796) indice: 1873
Punto 1874: (466.915, 108.841) indice: 1874
Punto 1875: (467.009, 35.1175) indice: 1875
Punto 1876: (467.227, 276.616) indice: 1876
Punto 1877: (467.403, 4.13142) indice: 1877
Punto 1878: (467.468, 273.919) indice: 1878
Punto 1879: (467.618, 263.918) indice: 1879
Punto 1880: (467.742, 96.2873) indice: 1880
Punto 1881: (467.798, 269.061) indice: 1881
Punto 1882: (467.894, 153.546) indice: 1882
Punto 1883: (467.938, 37.8694) indice: 1883
Punto 1884: (468.014, 291.785) indice: 1884
Punto 1885: (468.117, 258.138) indice: 1885
Punto 1886: (468.132, 2.48284) indice: 1886
Punto 1887: (468.217, 238.423) indice: 1887
Punto 1888: (468.232, 105.108) indice: 1888
Punto 1889: (468.239, 141.889) indice: 1889
Punto 1890: (468.286, 286.944) indice: 1890
Punto 1891: (468.357, 128.296) indice: 1891
Punto 1892: (468.389, 239.877) indice: 1892
Punto 1893: (468.414, 18.0999) indice: 1893
Punto 1894: (468.578, 151.072) indice: 1894
Punto 1895: (469.04, 257.808) indice: 1895
Punto 1896: (469.264, 54.8098) indice: 1896
Punto 1897: (469.54, 276.587) indice: 1897
Punto 1898: (469.642, 105.377) indice: 1898
Punto 1899: (469.724, 48.0372) indice: 1899
Punto 1900: (469.846, 279.576) indice: 1900
Punto 1901: (469.855, 280.868) indice: 1901
Punto 1902: (469.931, 107.835) indice: 1902
Punto 1903: (47.0382, 256.912) indice: 1903
Punto 1904: (47.0925, 163.664) indice: 1904
Punto 1905: (47.3949, 72.077) indice: 1905
Punto 1906: (47.5006, 277.004) indice: 1906
Punto 1907: (47.5537, 154.208) indice: 1907
Punto 1908: (47.9991, 272.218) indice: 1908
Punto 1909: (470.053, 93.0287) indice: 1909
Punto 1910: (470.233, 94.9054) indice: 1910
Punto 1911: (470.303, 142.609) indice: 1911
Punto 1912: (470.308, 48.7156) indice: 1912
Punto 1913: (470.398, 158.392) indice: 1913
Punto 1914: (470.505, 254.588) indice: 1914
Punto 1915: (470.54, 110.5) indice: 1915
Punto 1916: (470.643, 102.023) indice: 1916
Punto 1917: (470.974, 34.2853) indice: 1917
Punto 1918: (471.169, 252.301) indice: 1918
Punto 1919: (471.19, 161.256) indice: 1919
Punto 1920: (471.359, 160.228) indice: 1920
Punto 1921: (471.67, 263.008) indice: 1921
Punto 1922: (471.794, 16.6976) indice: 1922
Punto 1923: (471.833, 60.3631) indice: 1923
Punto 1924: (472.202, 152.468) indice: 1924
Punto 1925: (472.339, 127.32) indice: 1925
Punto 1926: (472.526, 281.415) indice: 1926
Punto 1927: (472.562, 41.628) indice: 1927
Punto 1928: (472.8, 267.347) indice: 1928
Punto 1929: (472.854, 11.8668) indice: 1929
Punto 1930: (472.887, 142.826) indice: 1930
Punto 1931: (472.968, 120.5) indice: 1931
Punto 1932: (473.106, 243.602) indice: 1932
Punto 1933: (473.107, 141.629) indice: 1933
Punto 1934: (473.132, 245.937) indice: 1934
Punto 1935: (473.197, 142.49) indice: 1935
Punto 1936: (473.441, 13.3489) indice: 1936
Punto 1937: (473.458, 14.8136) indice: 1937
Punto 1938: (473.765, 257.88) indice: 1938
Punto 1939: (473.888, 4.33028) indice: 1939
Punto 1940: (473.932, 58.9481) indice: 1940
Punto 1941: (474.093, 255.486) indice: 1941
Punto 1942: (474.222, 51.4918) indice: 1942
Punto 1943: (474.405, 134.377) indice: 1943
Punto 1944: (474.427, 88.4098) indice: 1944
Punto 1945: (474.51, 259.566) indice: 1945
Punto 1946: (474.536, 276.54) indice: 1946
Punto 1947: (474.596, 123.844) indice: 1947
Punto 1948: (475.361, 292.617) indice: 1948
Punto 1949: (475.372, 238.459) indice: 1949
Punto 1950: (475.763, 49.5346) indice: 1950
Punto 1951: (475.773, 41.5673) indice: 1951
Punto 1952: (476.091, 123.736) indice: 1952
Punto 1953: (476.331, 140.031) indice: 1953
Punto 1954: (476.342, 254.449) indice: 1954
Punto 1955: (476.355, 253.397) indice: 1955
Punto 1956: (476.356, 19.1773) indice: 1956
Punto 1957: (476.361, 4.28461) indice: 1957
Punto 1958: (476.48, 148.056) indice: 1958
Punto 1959: (476.545, 249.675) indice: 1959
Punto 1960: (476.635, 149.408) indice: 1960
Punto 1961: (476.729, 21.9421) indice: 1961
Punto 1962: (476.736, 11.394) indice: 1962
Punto 1963: (476.736, 24.9423) indice: 1963
Punto 1964: (476.833, 266.442) indice: 1964
Punto 1965: (476.982, 42.6563) indice: 1965
Punto 1966: (476.993, 10.2321) indice: 1966
Punto 1967: (477.006, 286.303) indice: 1967
Punto 1968: (477.187, 137.49) indice: 1968
Punto 1969: (477.466, 56.3868) indice: 1969
Punto 1970: (477.473, 1.35409) indice: 1970
Punto 1971: (477.523, 49.1499) indice: 1971
Punto 1972: (477.532, 259.373) indice: 1972
Punto 1973: (477.536, 271.826) indice: 1973
Punto 1974: (477.595, 17.1209) indice: 1974
Punto 1975: (477.653, 153.024) indice: 1975
Punto 1976: (478.02, 87.7277) indice: 1976
Punto 1977: (478.251, 16.6711) indice: 1977
Punto 1978: (478.277, 251.975) indice: 1978
Punto 1979: (478.461, 162.805) indice: 1979
Punto 1980: (478.483, 270.666) indice: 1980
Punto 1981: (478.526, 114.769) indice: 1981
Punto 1982: (478.578, 26.7527) indice: 1982
Punto 1983: (478.621, 236.886) indice: 1983
Punto 1984: (478.679, 158.266) indice: 1984
Punto 1985: (478.748, 279.299) indice: 1985
Punto 1986: (478.786, 245.607) indice: 1986
Punto 1987: (478.791, 147.465) indice: 1987
Punto 1988: (478.818, 166.67) indice: 1988
Punto 1989: (478.839, 157.004) indice: 1989
Punto 1990: (478.95, 19.9895) indice: 1990
Punto 1991: (479.007, 258.444) indice: 1991
Punto 1992: (479.039, 146.142) indice: 1992
Punto 1993: (479.045, 148.619) indice: 1993
Punto 1994: (479.069, 154.996) indice: 1994
Punto 1995: (479.079, 140.573) indice: 1995
Punto 1996: (479.17, 141.015) indice: 1996
Punto 1997: (479.223, 4.21285) indice: 1997
Punto 1998: (479.247, 23.9653) indice: 1998
Punto 1999: (479.357, 145.766) indice: 1999
Punto 2000: (479.507, 293.74) indice: 2000
Punto 2001: (479.517, 242.269) indice: 2001
Punto 2002: (479.826, 99.5629) indice: 2002
Punto 2003: (479.886, 20.4028) indice: 2003
Punto 2004: (479.969, 25.3324) indice: 2004
Punto 2005: (48.1199, 161.89) indice: 2005
Punto 2006: (48.2391, 176.546) indice: 2006
Punto 2007: (48.2722, 255.207) indice: 2007
Punto 2008: (48.3515, 37.0077) indice: 2008
Punto 2009: (48.4098, 170.977) indice: 2009
Punto 2010: (48.5534, 262.749) indice: 2010
Punto 2011: (48.7304, 158.375) indice: 2011
Punto 2012: (48.7599, 275.952) indice: 2012
Punto 2013: (48.8139, 28.8092) indice: 2013
Punto 2014: (48.8865, 285.744) indice: 2014
Punto 2015: (48.9075, 168.652) indice: 2015
Punto 2016: (480.024, 256.994) indice: 2016
Punto 2017: (480.186, 22.7493) indice: 2017
Punto 2018: (480.195, 7.74155) indice: 2018
Punto 2019: (480.406, 284.339) indice: 2019
Punto 2020: (480.441, 17.9615) indice: 2020
Punto 2021: (480.521, 57.0541) indice: 2021
Punto 2022: (480.7, 280.594) indice: 2022
Punto 2023: (480.742, 28.866) indice: 2023
Punto 2024: (480.819, 165.399) indice: 2024
Punto 2025: (480.894, 128.151) indice: 2025
Punto 2026: (480.978, 261.292) indice: 2026
Punto 2027: (481.011, 0.194963) indice: 2027
Punto 2028: (481.047, 287.704) indice: 2028
Punto 2029: (481.106, 148.303) indice: 2029
Punto 2030: (481.129, 151.819) indice: 2030
Punto 2031: (481.162, 239.17) indice: 2031
Punto 2032: (481.229, 155.271) indice: 2032
Punto 2033: (481.259, 270.914) indice: 2033
Punto 2034: (481.395, 270.75) indice: 2034
Punto 2035: (481.648, 25.82) indice: 2035
Punto 2036: (481.85, 38.8085) indice: 2036
Punto 2037: (481.886, 259.408) indice: 2037
Punto 2038: (481.981, 149.602) indice: 2038
Punto 2039: (482.099, 23.5411) indice: 2039
Punto 2040: (482.117, 112.794) indice: 2040
Punto 2041: (482.167, 244.422) indice: 2041
Punto 2042: (482.223, 289.066) indice: 2042
Punto 2043: (482.359, 265.8) indice: 2043
Punto 2044: (482.48, 150.972) indice: 2044
Punto 2045: (482.688, 14.9709) indice: 2045
Punto 2046: (482.903, 244.121) indice: 2046
Punto 2047: (483.113, 20.8233) indice: 2047
Punto 2048: (483.206, 4.4391) indice: 2048
Punto 2049: (483.29, 156.73) indice: 2049
Punto 2050: (483.387, 25.9873) indice: 2050
Punto 2051: (483.501, 128.603) indice: 2051
Punto 2052: (483.668, 125.598) indice: 2052
Punto 2053: (483.67, 12.0968) indice: 2053
Punto 2054: (483.875, 169.542) indice: 2054
Punto 2055: (484.018, 91.6615) indice: 2055
Punto 2056: (484.09, 18.2644) indice: 2056
Punto 2057: (484.182, 117.806) indice: 2057
Punto 2058: (484.259, 30.6484) indice: 2058
Punto 2059: (484.722, 40.3269) indice: 2059
Punto 2060: (484.799, 21.9417) indice: 2060
Punto 2061: (484.869, 38.5516) indice: 2061
Punto 2062: (484.878, 32.4822) indice: 2062
Punto 2063: (484.9, 157.191) indice: 2063
Punto 2064: (484.992, 265.061) indice: 2064
Punto 2065: (485.05, 240.153) indice: 2065
Punto 2066: (485.143, 250.373) indice: 2066
Punto 2067: (485.201, 14.0101) indice: 2067
Punto 2068: (485.29, 255.681) indice: 2068
Punto 2069: (485.32, 260.217) indice: 2069
Punto 2070: (485.377, 57.5164) indice: 2070
Punto 2071: (485.415, 146.63) indice: 2071
Punto 2072: (485.468, 253.462) indice: 2072
Punto 2073: (485.53, 108.527) indice: 2073
Punto 2074: (485.666, 285.382) indice: 2074
Punto 2075: (485.848, 268.157) indice: 2075
Punto 2076: (485.945, 47.0754) indice: 2076
Punto 2077: (486.016, 162.482) indice: 2077
Punto 2078: (486.063, 144.387) indice: 2078
Punto 2079: (486.212, 163.926) indice: 2079
Punto 2080: (486.226, 259.876) indice: 2080
Punto 2081: (486.227, 250.304) indice: 2081
Punto 2082: (486.251, 29.9568) indice: 2082
Punto 2083: (486.783, 84.8929) indice: 2083
Punto 2084: (487.117, 163.815) indice: 2084
Punto 2085: (487.119, 32.6649) indice: 2085
Punto 2086: (487.694, 20.7451) indice: 2086
Punto 2087: (487.925, 29.2537) indice: 2087
Punto 2088: (488.002, 21.3075) indice: 2088
Punto 2089: (488.138, 15.07) indice: 2089
Punto 2090: (488.506, 20.3634) indice: 2090
Punto 2091: (488.653, 114.136) indice: 2091
Punto 2092: (488.765, 14.9582) indice: 2092
Punto 2093: (488.921, 134.58) indice: 2093
Punto 2094: (489.019, 283.216) indice: 2094
Punto 2095: (489.128, 103.81) indice: 2095
Punto 2096: (489.195, 257.24) indice: 2096
Punto 2097: (489.31, 263.769) indice: 2097
Punto 2098: (489.355, 108.269) indice: 2098
Punto 2099: (489.503, 287.036) indice: 2099
Punto 2100: (489.628, 250.845) indice: 2100
Punto 2101: (489.706, 262.545) indice: 2101
Punto 2102: (489.737, 277.521) indice: 2102
Punto 2103: (489.817, 38.5283) indice: 2103
Punto 2104: (489.817, 276.033) indice: 2104
Punto 2105: (489.94, 150.937) indice: 2105
Punto 2106: (489.949, 275.342) indice: 2106
Punto 2107: (49.2011, 290.048) indice: 2107
Punto 2108: (49.329, 148.363) indice: 2108
Punto 2109: (49.4469, 81.3179) indice: 2109
Punto 2110: (49.5513, 242.825) indice: 2110
Punto 2111: (49.5823, 32.2347) indice: 2111
Punto 2112: (49.589, 274.466) indice: 2112
Punto 2113: (49.5941, 236.286) indice: 2113
Punto 2114: (49.7192, 54.5317) indice: 2114
Punto 2115: (490.005, 113.137) indice: 2115
Punto 2116: (490.011, 279.044) indice: 2116
Punto 2117: (490.116, 3.2995) indice: 2117
Punto 2118: (490.257, 236.818) indice: 2118
Punto 2119: (490.638, 117.497) indice: 2119
Punto 2120: (490.695, 278.016) indice: 2120
Punto 2121: (490.815, 246.684) indice: 2121
Punto 2122: (490.912, 239.824) indice: 2122
Punto 2123: (490.98, 245.352) indice: 2123
Punto 2124: (491.042, 262.771) indice: 2124
Punto 2125: (491.117, 277.833) indice: 2125
Punto 2126: (491.416, 274.242) indice: 2126
Punto 2127: (491.429, 23.7952) indice: 2127
Punto 2128: (491.448, 290.093) indice: 2128
Punto 2129: (491.605, 270.346) indice: 2129
Punto 2130: (491.722, 285.362) indice: 2130
Punto 2131: (491.784, 20.5618) indice: 2131
Punto 2132: (491.803, 247.083) indice: 2132
Punto 2133: (491.836, 285.92) indice: 2133
Punto 2134: (491.837, 10.9814) indice: 2134
Punto 2135: (491.867, 260.132) indice: 2135
Punto 2136: (491.874, 108.893) indice: 2136
Punto 2137: (491.914, 12.7008) indice: 2137
Punto 2138: (492.179, 56.803) indice: 2138
Punto 2139: (492.494, 14.8037) indice: 2139
Punto 2140: (492.744, 279.087) indice: 2140
Punto 2141: (493.089, 278.706) indice: 2141
Punto 2142: (493.267, 37.5222) indice: 2142
Punto 2143: (493.3, 252.883) indice: 2143
Punto 2144: (493.382, 14.048) indice: 2144
Punto 2145: (493.437, 261.164) indice: 2145
Punto 2146: (493.518, 56.1886) indice: 2146
Punto 2147: (493.95, 38.8415) indice: 2147
Punto 2148: (495.694, 49.6779) indice: 2148
Punto 2149: (495.701, 54.398) indice: 2149
Punto 2150: (495.701, 61.7573) indice: 2150
Punto 2151: (495.808, 19.3348) indice: 2151
Punto 2152: (495.901, 254.91) indice: 2152
Punto 2153: (495.935, 254.219) indice: 2153
Punto 2154: (497.098, 8.83948) indice: 2154
Punto 2155: (497.395, 43.0833) indice: 2155
Punto 2156: (497.409, 37.8953) indice: 2156
Punto 2157: (499.487, 17.5047) indice: 2157
Punto 2158: (5.03646, 218.484) indice: 2158
Punto 2159: (5.28658, 222.101) indice: 2159
Punto 2160: (5.37973, 225.583) indice: 2160
Punto 2161: (5.52664, 205.213) indice: 2161
Punto 2162: (5.92311, 203.588) indice: 2162
Punto 2163: (5.97484, 216.736) indice: 2163
Punto 2164: (50.379, 157.807) indice: 2164
Punto 2165: (50.4209, 279.328) indice: 2165
Punto 2166: (50.4431, 269.599) indice: 2166
Punto 2167: (50.5038, 169.45) indice: 2167
Punto 2168: (50.9631, 165.99) indice: 2168
Punto 2169: (50.9918, 175.053) indice: 2169
Punto 2170: (500.086, 20.3655) indice: 2170
Punto 2171: (500.728, 9.36516) indice: 2171
Punto 2172: (501.132, 50.6257) indice: 2172
Punto 2173: (501.54, 53.2865) indice: 2173
Punto 2174: (502.172, 14.8612) indice: 2174
Punto 2175: (502.187, 29.5939) indice: 2175
Punto 2176: (502.236, 16.6289) indice: 2176
Punto 2177: (502.39, 21.0251) indice: 2177
Punto 2178: (503.136, 30.2658) indice: 2178
Punto 2179: (51.1431, 244.828) indice: 2179
Punto 2180: (51.2173, 290.861) indice: 2180
Punto 2181: (51.2387, 283.165) indice: 2181
Punto 2182: (51.3939, 185.102) indice: 2182
Punto 2183: (51.4012, 155.991) indice: 2183
Punto 2184: (51.4248, 284.9) indice: 2184
Punto 2185: (51.7794, 154.239) indice: 2185
Punto 2186: (51.8009, 178.587) indice: 2186
Punto 2187: (51.8896, 275.529) indice: 2187
Punto 2188: (52.0493, 256.052) indice: 2188
Punto 2189: (52.0842, 180.84) indice: 2189
Punto 2190: (52.3964, 179.019) indice: 2190
Punto 2191: (52.528, 295.995) indice: 2191
Punto 2192: (52.5651, 143.152) indice: 2192
Punto 2193: (52.9509, 276.19) indice: 2193
Punto 2194: (53.0571, 160.578) indice: 2194
Punto 2195: (53.1981, 277.184) indice: 2195
Punto 2196: (53.5246, 167.715) indice: 2196
Punto 2197: (53.6207, 146.383) indice: 2197
Punto 2198: (53.7319, 129.995) indice: 2198
Punto 2199: (53.7503, 286.194) indice: 2199
Punto 2200: (54.142, 167.534) indice: 2200
Punto 2201: (54.2322, 147.6) indice: 2201
Punto 2202: (54.2534, 249.042) indice: 2202
Punto 2203: (54.3168, 151.919) indice: 2203
Punto 2204: (54.3276, 161.988) indice: 2204
Punto 2205: (54.3277, 48.5577) indice: 2205
Punto 2206: (54.3702, 175.748) indice: 2206
Punto 2207: (54.6137, 130.887) indice: 2207
Punto 2208: (54.7052, 138.938) indice: 2208
Punto 2209: (54.7083, 282.818) indice: 2209
Punto 2210: (54.8981, 27.6318) indice: 2210
Punto 2211: (54.9128, 122.569) indice: 2211
Punto 2212: (55.0822, 192.079) indice: 2212
Punto 2213: (55.0833, 231.485) indice: 2213
Punto 2214: (55.1087, 245.785) indice: 2214
Punto 2215: (55.2405, 160.356) indice: 2215
Punto 2216: (55.2756, 230.001) indice: 2216
Punto 2217: (55.4298, 243.146) indice: 2217
Punto 2218: (55.5294, 281.047) indice: 2218
Punto 2219: (55.8077, 157.592) indice: 2219
Punto 2220: (56.1707, 180.341) indice: 2220
Punto 2221: (56.1857, 258.697) indice: 2221
Punto 2222: (56.3655, 251.929) indice: 2222
Punto 2223: (56.6613, 180.28) indice: 2223
Punto 2224: (56.879, 168.533) indice: 2224
Punto 2225: (57.0671, 258.135) indice: 2225
Punto 2226: (57.131, 296.103) indice: 2226
Punto 2227: (57.1725, 232.995) indice: 2227
Punto 2228: (57.2061, 294.207) indice: 2228
Punto 2229: (57.5563, 174.517) indice: 2229
Punto 2230: (57.704, 158.709) indice: 2230
Punto 2231: (57.7376, 113.473) indice: 2231
Punto 2232: (57.8831, 163.618) indice: 2232
Punto 2233: (57.9833, 172.585) indice: 2233
Punto 2234: (58.211, 167.807) indice: 2234
Punto 2235: (58.2895, 147.628) indice: 2235
Punto 2236: (58.5383, 126.893) indice: 2236
Punto 2237: (58.6017, 163.851) indice: 2237
Punto 2238: (58.6852, 235.794) indice: 2238
Punto 2239: (58.9576, 288.888) indice: 2239
Punto 2240: (58.976, 54.4285) indice: 2240
Punto 2241: (59.0523, 175.057) indice: 2241
Punto 2242: (59.1357, 122.463) indice: 2242
Punto 2243: (59.2851, 269.641) indice: 2243
Punto 2244: (59.3832, 273.948) indice: 2244
Punto 2245: (59.4045, 191.396) indice: 2245
Punto 2246: (59.9576, 185.762) indice: 2246
Punto 2247: (59.976, 140.817) indice: 2247
Punto 2248: (6.04143, 230.243) indice: 2248
Punto 2249: (6.25388, 42.6698) indice: 2249
Punto 2250: (6.2841, 207.245) indice: 2250
Punto 2251: (6.38778, 207.687) indice: 2251
Punto 2252: (6.71335, 191.378) indice: 2252
Punto 2253: (6.74057, 214.745) indice: 2253
Punto 2254: (60.0855, 169.584) indice: 2254
Punto 2255: (60.4085, 295.637) indice: 2255
Punto 2256: (60.5507, 272.858) indice: 2256
Punto 2257: (60.5791, 123.769) indice: 2257
Punto 2258: (60.7259, 268.645) indice: 2258
Punto 2259: (60.98, 270.412) indice: 2259
Punto 2260: (61.0799, 283.288) indice: 2260
Punto 2261: (61.0837, 130.349) indice: 2261
Punto 2262: (61.0877, 259.648) indice: 2262
Punto 2263: (61.2104, 238.897) indice: 2263
Punto 2264: (61.9435, 6.50452) indice: 2264
Punto 2265: (62.3548, 180.98) indice: 2265
Punto 2266: (62.5794, 125.734) indice: 2266
Punto 2267: (62.6514, 170.005) indice: 2267
Punto 2268: (62.7932, 130.123) indice: 2268
Punto 2269: (62.8135, 138.718) indice: 2269
Punto 2270: (62.9154, 178.831) indice: 2270
Punto 2271: (63.3255, 253.074) indice: 2271
Punto 2272: (63.3789, 184.048) indice: 2272
Punto 2273: (63.4783, 124.097) indice: 2273
Punto 2274: (63.5043, 245.96) indice: 2274
Punto 2275: (63.7281, 249.985) indice: 2275
Punto 2276: (63.7751, 272.662) indice: 2276
Punto 2277: (63.877, 265.573) indice: 2277
Punto 2278: (63.9013, 123.874) indice: 2278
Punto 2279: (63.908, 173.283) indice: 2279
Punto 2280: (63.9324, 185.958) indice: 2280
Punto 2281: (64.0179, 228.31) indice: 2281
Punto 2282: (64.0645, 131.617) indice: 2282
Punto 2283: (64.1526, 177.888) indice: 2283
Punto 2284: (64.2014, 186.829) indice: 2284
Punto 2285: (64.2114, 171.02) indice: 2285
Punto 2286: (64.3626, 168.249) indice: 2286
Punto 2287: (64.5808, 245.568) indice: 2287
Punto 2288: (64.6104, 254.34) indice: 2288
Punto 2289: (64.7673, 192.175) indice: 2289
Punto 2290: (64.9633, 268.083) indice: 2290
Punto 2291: (65.0182, 238.344) indice: 2291
Punto 2292: (65.0479, 274.732) indice: 2292
Punto 2293: (65.2948, 182.642) indice: 2293
Punto 2294: (65.3012, 142.405) indice: 2294
Punto 2295: (65.4081, 117.178) indice: 2295
Punto 2296: (65.5101, 242.867) indice: 2296
Punto 2297: (65.5259, 185.09) indice: 2297
Punto 2298: (65.5501, 178.341) indice: 2298
Punto 2299: (65.5718, 125.343) indice: 2299
Punto 2300: (65.812, 236.873) indice: 2300
Punto 2301: (65.8447, 192.964) indice: 2301
Punto 2302: (65.9107, 279.257) indice: 2302
Punto 2303: (65.9257, 281.515) indice: 2303
Punto 2304: (66.0428, 181.237) indice: 2304
Punto 2305: (66.1383, 57.2102) indice: 2305
Punto 2306: (66.1865, 274.167) indice: 2306
Punto 2307: (66.206, 282.986) indice: 2307
Punto 2308: (66.2492, 241.773) indice: 2308
Punto 2309: (66.5592, 170.749) indice: 2309
Punto 2310: (66.5667, 189.57) indice: 2310
Punto 2311: (66.5828, 149.31) indice: 2311
Punto 2312: (66.6017, 146.66) indice: 2312
Punto 2313: (66.6132, 274.713) indice: 2313
Punto 2314: (66.7331, 190.561) indice: 2314
Punto 2315: (66.7579, 193.211) indice: 2315
Punto 2316: (66.8747, 150.822) indice: 2316
Punto 2317: (66.8807, 279.814) indice: 2317
Punto 2318: (66.9485, 275.128) indice: 2318
Punto 2319: (66.9656, 129.29) indice: 2319
Punto 2320: (67.0347, 284.751) indice: 2320
Punto 2321: (67.0635, 236.535) indice: 2321
Punto 2322: (67.161, 301.829) indice: 2322
Punto 2323: (67.2361, 257.941) indice: 2323
Punto 2324: (67.4081, 277.965) indice: 2324
Punto 2325: (67.462, 117.347) indice: 2325
Punto 2326: (67.6223, 256.141) indice: 2326
Punto 2327: (67.6697, 186.921) indice: 2327
Punto 2328: (67.7778, 30.5583) indice: 2328
Punto 2329: (67.8755, 251.366) indice: 2329
Punto 2330: (67.8827, 129.861) indice: 2330
Punto 2331: (67.8946, 229.435) indice: 2331
Punto 2332: (68.0653, 120.986) indice: 2332
Punto 2333: (68.0656, 254.286) indice: 2333
Punto 2334: (68.1622, 178.121) indice: 2334
Punto 2335: (68.5338, 176.049) indice: 2335
Punto 2336: (68.6871, 135.473) indice: 2336
Punto 2337: (68.9388, 33.5451) indice: 2337
Punto 2338: (69.0994, 116.283) indice: 2338
Punto 2339: (69.122, 278.021) indice: 2339
Punto 2340: (69.3244, 236.394) indice: 2340
Punto 2341: (69.5076, 294.533) indice: 2341
Punto 2342: (69.6821, 285.96) indice: 2342
Punto 2343: (69.9523, 143.677) indice: 2343
Punto 2344: (7.40448, 190.83) indice: 2344
Punto 2345: (70.0092, 280.313) indice: 2345
Punto 2346: (70.0592, 273.358) indice: 2346
Punto 2347: (70.0817, 194.036) indice: 2347
Punto 2348: (70.1104, 240.034) indice: 2348
Punto 2349: (70.2441, 244.822) indice: 2349
Punto 2350: (70.5583, 281.1) indice: 2350
Punto 2351: (70.6028, 241.921) indice: 2351
Punto 2352: (70.8028, 251.825) indice: 2352
Punto 2353: (70.8627, 233.461) indice: 2353
Punto 2354: (70.9804, 249.336) indice: 2354
Punto 2355: (70.9865, 184.029) indice: 2355
